num_exercicio,disciplina,assunto
1,Ciências Humanas,Atualidades - Mobilidade Urbana
2,Ciências Humanas,Atualidades - Crise dos refugiados
3,Ciências Humanas,Sociologia - Direitos civis
4,Ciências Humanas,Filosofia - Existencialismo
5,Ciências Humanas,História - Grécia Antiga
6,Ciências Humanas,História - Baixa Idade Média
7,Ciências Humanas,História - Reformas religiosas
8,Ciências Humanas,História - Guerras Mundiais
9,Ciências Humanas,História - Guerra Fria
10,Ciências Humanas,História - Brasil Colônia
11,Ciências Humanas,História - Segundo Reinado
12,Ciências Humanas,História - Brasil República
13,Ciências Humanas,História - Regime Militar
14,Ciências Humanas,História - Redemocratização
15,Ciências Humanas,Geografia - Geografia Agrária
16,Ciências Humanas,Geografia - Fases do capitalismo e neoliberalismo
17,Ciências Humanas,Geografia - Indústria
18,Ciências Humanas,Geografia - Divisão internacional do trabalho
19,Ciências Humanas,Geografia - Indústria e fatores locacionais
20,Ciências Humanas,Geografia - Globalização
21,Ciências Humanas,Geografia - Clima
22,Ciências Humanas,Geografia - Clima
23,Ciências Humanas,Geografia - Rochas e relevos
24,Ciências Humanas,Geografia - Cartografia
25,Matemática,Geometria Plana
26,Matemática,Geometria Analítica
27,Matemática,Geometria Analítica
28,Matemática,Geometria Espacial
29,Matemática,Geometria Espacial
30,Matemática,Geometria Plana
31,Matemática,Geometria Plana
32,Matemática,Geometria Plana
33,Matemática,Regra de 3
34,Matemática,Regra de 3
35,Matemática,Razão e proporção
36,Matemática,Porcentagem
37,Matemática,Porcentagem
38,Matemática,Porcentagem
39,Matemática,Trigonometria
40,Matemática,Trigonometria
41,Matemática,Análise Combinatória
42,Matemática,Probabilidade
43,Matemática,Função do 1º grau
44,Matemática,Função do 2º grau
45,Matemática,Função Logarítmica
46,Matemática,Função Exponencial
47,Matemática,Função Logarítmica
48,Matemática,Probabilidade
49,Linguagens,Gênero Textual
50,Linguagens,Variação linguística
51,Linguagens,Significados implícitos
52,Linguagens,Tipos de texto
53,Linguagens,Sinônimos
54,Linguagens,Figuras de linguagem
55,Linguagens,Funções da linguagem
56,Linguagens,Tipos de texto
57,Linguagens,Tese e argumentação
58,Linguagens,Figuras de linguagem
59,Linguagens,Tipos de texto
60,Linguagens,Polissemia
61,Linguagens,Funções da linguagem
62,Linguagens,Gênero Textual
63,Linguagens,Gênero Textual
64,Linguagens,Elementos da comunicação
65,Linguagens,Figuras de linguagem
66,Linguagens,Significados implícitos
67,Linguagens,Figuras de linguagem
68,Linguagens,Figuras de linguagem
69,Linguagens,Polissemia
70,Linguagens,Figuras de linguagem
71,Linguagens,Significados implícitos
72,Linguagens,Tipos de texto
73,Redação,Redação
74,Ciências da Natureza,Biologia - Genética
75,Ciências da Natureza,Biologia - Genética
76,Ciências da Natureza,Biologia - Genética
77,Ciências da Natureza,"Biologia - DNA, RNA e Bases Nitrogenadas"
78,Ciências da Natureza,Biologia - Ciclos Biogeoquímicos
79,Ciências da Natureza,Biologia - Histologia
80,Ciências da Natureza,Biologia - Fisiologia Animal e humana
81,Ciências da Natureza,Biologia - Evolução
82,Ciências da Natureza,Química - Físico química
83,Ciências da Natureza,Química - Química geral
84,Ciências da Natureza,Química - Radioatividade
85,Ciências da Natureza,Química - Calculo Estequiométrico
86,Ciências da Natureza,Química - Físico Química
87,Ciências da Natureza,Química - Química geral
88,Ciências da Natureza,Química - Físico química
89,Ciências da Natureza,Química - Química geral
90,Ciências da Natureza,Física - Cinemática
91,Ciências da Natureza,Física - Cinemática
92,Ciências da Natureza,Física - Termodinâmica
93,Ciências da Natureza,Física - Trabalho e Energia
94,Ciências da Natureza,Física - Eletrodinâmica
95,Ciências da Natureza,Física - Eletrodinâmica
96,Ciências da Natureza,Física - Termodinâmica
97,Ciências da Natureza,Física - Dinâmica